Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
RV,< 23,Arizona,Pac-10,6-3,19,L 54-10 A Washington,,,,,
RV,< NR,Colorado State,WAC,,18, ,,,,,
RV,< NR,Syracuse,Ind,,17, ,,,,,
RV,< NR,California,Pac-10,,13, ,,,,,
RV,< NR,Southern Miss,Ind,,4, ,,,,,
RV,< NR,Toledo,MAC,,3, ,,,,,
RV,< NR,San Jose State,Big West,,2, ,,,,,
RV,< NR,Minnesota,Big Ten,,1, ,,,,,
RV,< NR,North Carolina,ACC,,1, ,,,,,
1,< 1,Notre Dame (55),Ind,8-1,1495,W 34-29 A #9 Tennessee,,,,,
2,< 4,Colorado (5),Big 8,9-1-1,1419, ,,,,,
3,< 5,Miami (FL),Ind,6-2,1349, ,,,,,
4,< 7,Georgia Tech,ACC,8-0-1,1207, ,,,,,
5,< 8,BYU,WAC,8-1,1206, ,,,,,
6,< 10,Florida,SEC,8-1,1163, ,,,,,
7,< 14,Texas,Southwest,7-1,1149, ,,,,,
8,< 11,Virginia,ACC,8-1,1064, ,,,,,
9,< 12,Florida State,Ind,7-2,1001, ,,,,,
10,< 2,Washington,Pac-10,8-2,992, ,,,,,
11,< 13,Nebraska,Big 8,9-1,897, ,,,,,
12,< 3,Houston,Southwest,8-1,806, ,,,,,
13,< 6,Iowa,Big Ten,7-2,749, ,,,,,
14,< 9,Tennessee,SEC,5-2-2,725, ,,,,,
15,< 16,Mississippi,SEC,8-1,693, ,,,,,
16,< 19,Michigan,Big Ten,6-3,600, ,,,,,
17,< 18,Clemson,ACC,8-2,576, ,,,,,
18,< 21,Penn State,Ind,7-2,495, ,,,,,
19,< 23,USC,Pac-10,7-2-1,323, ,,,,,
20,< 22,Louisville,Ind,9-1-1,311,W 17-10 H Boston College,,,,,
21,< NR,Ohio State,Big Ten,6-2-1,304, ,,,,,
22,< 17,Illinois,Big Ten,6-3,236, ,,,,,
23,< 24,Michigan State,Big Ten,5-3-1,206, ,,,,,
24,< 15,Auburn,SEC,6-2-1,172, ,,,,,
25,< NR,Southern Miss,Ind,8-3,85,W 13-12 A Auburn,,,,,
RV,< NR,California,Pac-10,,82, ,,,,,
RV,< NR,Oklahoma,Big 8,,69, ,,,,,
RV,< NR,Texas A&M,Southwest,,58, ,,,,,
RV,< 20,Oregon,Pac-10,,21, ,,,,,
RV,< NR,San Jose State,Big West,,16, ,,,,,
RV,< NR,Colorado State,WAC,,15, ,,,,,
RV,< 25,Wyoming,WAC,,6, ,,,,,
RV,< NR,Alabama,SEC,,5, ,,,,,
RV,< NR,Baylor,Southwest,,2, ,,,,,
RV,< NR,Central Michigan,MAC,,2, ,,,,,
RV,< NR,UCLA,Pac-10,,1, ,,,,,
1,< 2,Colorado (45),Big 8,10-1-1,1476,W 64-3 H Kansas State,,,,,
2,< 3,Miami (FL) (3),Ind,7-2,1344, ,,,,,
3,< 4,Georgia Tech (8),ACC,9-0-1,1333, ,,,,,
4,< 5,BYU (2),WAC,9-1,1263, ,,,,,
5,< 6,Florida (1),SEC,9-1,1229, ,,,,,
6,< 7,Texas (1),Southwest,8-1,1228, ,,,,,
7,< 1,Notre Dame,Ind,8-2,1113,L 24-21 H #18 Penn State,,,,,
8,< 9,Florida State,Ind,8-2,1060, ,,,,,
9,< 10,Washington,Pac-10,9-2,1043, ,,,,,
10,< 11,Nebraska,Big 8,9-1,926, ,,,,,
11,< 18,Penn State,Ind,8-2,923, ,,,,,
12,< 12,Houston,Southwest,9-1,839, ,,,,,
13,< 13,Iowa,Big Ten,8-2,810, ,,,,,
14,< 14,Tennessee,SEC,6-2-2,791, ,,,,,
15,< 16,Michigan,Big Ten,7-3,634, ,,,,,
16,< 17,Clemson,ACC,9-2,595, ,,,,,
17,< 8,Virginia,ACC,8-2,533, ,,,,,
18,< 19,USC,Pac-10,8-2-1,432, ,,,,,
19,< 21,Ohio State,Big Ten,7-2-1,364, ,,,,,
20,< 20,Louisville,Ind,9-1-1,330,DNP,,,,,
21,< 15,Mississippi,SEC,8-2,301, ,,,,,
22,< 22,Illinois,Big Ten,7-3,290, ,,,,,
23,< 24,Auburn,SEC,7-2-1,205, ,,,,,
24,< 23,Michigan State,Big Ten,6-3-1,168, ,,,,,
25,< 25,Southern Miss,Ind,8-3,124,DNP,,,,,
RV,< NR,Texas A&M,Southwest,,56, ,,,,,
RV,< NR,Oklahoma,Big 8,,39, ,,,,,
RV,< NR,San Jose State,Big West,,15, ,,,,,
RV,< NR,Oregon,Pac-10,,11, ,,,,,
RV,< NR,California,Pac-10,,4, ,,,,,
RV,< NR,Colorado State,WAC,,4, ,,,,,
RV,< NR,Alabama,SEC,,3, ,,,,,
RV,< NR,Baylor,Southwest,,3, ,,,,,
RV,< NR,Wyoming,WAC,,3, ,,,,,
RV,< NR,Arizona,Pac-10,,2, ,,,,,
RV,< NR,Syracuse,Ind,,2, ,,,,,
RV,< NR,Central Michigan,MAC,,1, ,,,,,
RV,< NR,Louisiana Tech,Ind,,1, ,,,,,
RV,< NR,Maryland,ACC,,1, ,,,,,
RV,< NR,North Carolina,ACC,,1, ,,,,,
1,< 1,Colorado (41),Big 8,10-1-1,1468,DNP,,,,,
2,< 3,Georgia Tech (10),ACC,9-0-1,1338, ,,,,,
3,< 2,Miami (FL) (2),Ind,8-2,1332, ,,,,,
4,< 4,BYU (3),WAC,10-1,1275, ,,,,,
5,< 6,Texas (3),Southwest,9-1,1260, ,,,,,
6,< 5,Florida (1),SEC,9-1,1218, ,,,,,
7,< 7,Notre Dame,Ind,9-2,1170, ,,,,,
8,< 8,Florida State,Ind,8-2,1060, ,,,,,
9,< 9,Washington,Pac-10,9-2,1051, ,,,,,
10,< 11,Penn State,Ind,9-2,1026, ,,,,,
11,< 12,Houston,Southwest,9-1,862, ,,,,,
12,< 14,Tennessee,SEC,7-2-2,856, ,,,,,
13,< 15,Michigan,Big Ten,8-3,793, ,,,,,
14,< 16,Clemson,ACC,9-2,707, ,,,,,
15,< 21,Mississippi,SEC,9-2,487, ,,,,,
16,< 22,Illinois,Big Ten,8-3,449, ,,,,,
17,< 20,Louisville,Ind,9-1-1,444,DNP,,,,,
18,< 13,Iowa,Big Ten,8-3,402, ,,,,,
19,< 10,Nebraska,Big 8,9-2,397, ,,,,,
20,< 23,Auburn,SEC,7-2-1,339, ,,,,,
21,< 18,USC,Pac-10,8-3-1,292, ,,,,,
22,< NR,Oklahoma,Big 8,8-3,259,W 45-10 H #10 Nebraska,,,,,
23,< 24,Michigan State,Big Ten,7-3-1,230.5, ,,,,,
24,< 25,Southern Miss,Ind,8-3,216,DNP,,,,,
25,< 19,Ohio State,Big Ten,7-3-1,194, ,,,,,
RV,< NR,Texas A&M,Southwest,,165, ,,,,,
RV,< 17,Virginia,ACC,,106, ,,,,,
RV,< NR,San Jose State,Big West,,27.5, ,,,,,
RV,< NR,Oregon,Pac-10,,23, ,,,,,
RV,< NR,Alabama,SEC,,14, ,,,,,
RV,< NR,Arizona,Pac-10,,13, ,,,,,
RV,< NR,California,Pac-10,,10, ,,,,,
RV,< NR,Colorado State,WAC,,4, ,,,,,
RV,< NR,Maryland,ACC,,2, ,,,,,
RV,< NR,North Carolina,ACC,,2, ,,,,,
RV,< NR,Temple,Ind,,2, ,,,,,
RV,< NR,Virginia Tech,Ind,,2, ,,,,,
RV,< NR,Baylor,Southwest,,1, ,,,,,
RV,< NR,Central Michigan,MAC,,1, ,,,,,
RV,< NR,Louisiana Tech,Ind,,1, ,,,,,
RV,< NR,Wyoming,WAC,,1, ,,,,,
1,< 1,Colorado (42),Big 8,10-1-1,1476,DNP,,,,,
2,< 2,Georgia Tech (16),ACC,10-0-1,1397, ,,,,,
3,< 5,Texas (2),Southwest,10-1,1338, ,,,,,
4,< 3,Miami (FL),Ind,9-2,1303, ,,,,,
5,< 7,Notre Dame,Ind,9-2,1252, ,,,,,
6,< 8,Florida State,Ind,9-2,1196, ,,,,,
7,< 10,Penn State,Ind,9-2,1125, ,,,,,
8,< 9,Washington,Pac-10,9-2,1117, ,,,,,
9,< 11,Houston,Southwest,10-1,945, ,,,,,
10,< 12,Tennessee,SEC,8-2-2,944, ,,,,,
11,< 6,Florida,SEC,9-2,905, ,,,,,
12,< 13,Michigan,Big Ten,8-3,833, ,,,,,
13,< 4,BYU,WAC,10-2,786, ,,,,,
14,< 14,Clemson,ACC,9-2,737, ,,,,,
15,< 15,Mississippi,SEC,9-2,535, ,,,,,
16,< 16,Illinois,Big Ten,8-3,500, ,,,,,
17,< 18,Iowa,Big Ten,8-3,461, ,,,,,
18,< 17,Louisville,Ind,9-1-1,450,DNP,,,,,
19,< 19,Nebraska,Big 8,9-2,406, ,,,,,
20,< 22,Oklahoma,Big 8,8-3,360,DNP,,,,,
21,< 21,USC,Pac-10,8-3-1,352, ,,,,,
22,< 23,Michigan State,Big Ten,7-3-1,260, ,,,,,
23,< 24,Southern Miss,Ind,8-3,226,DNP,,,,,
24,< 25,Ohio State,Big Ten,7-3-1,197, ,,,,,
25,< NR,Alabama,SEC,7-4,115, ,,,,,
RV,< NR,Texas A&M,Southwest,,94, ,,,,,
RV,< NR,Virginia,ACC,,61, ,,,,,
RV,< 20,Auburn,SEC,,47, ,,,,,
RV,< NR,Oregon,Pac-10,,24, ,,,,,
RV,< NR,San Jose State,Big West,,23, ,,,,,
RV,< NR,California,Pac-10,,8, ,,,,,
RV,< NR,Arizona,Pac-10,,7, ,,,,,
RV,< NR,Colorado State,WAC,,6, ,,,,,
RV,< NR,Virginia Tech,Ind,,3, ,,,,,
RV,< NR,Central Michigan,MAC,,2, ,,,,,
RV,< NR,Hawaii,WAC,,2, ,,,,,
RV,< NR,Louisiana Tech,Ind,,2, ,,,,,
RV,< NR,North Carolina,ACC,,2, ,,,,,
RV,< NR,Wyoming,WAC,,2, ,,,,,
RV,< NR,Temple,Ind,,1, ,,,,,
1,< 1,Colorado (39),Big 8,11-1-1,1475,W 10-9 N #6 Notre Dame (Orange),,,,,
2,< 2,Georgia Tech (20),ACC,11-0-1,1441, ,,,,,
3,< 4,Miami (FL) (1),Ind,10-2,1388, ,,,,,
4,< 6,Florida State,Ind,10-2,1303, ,,,,,
5,< 8,Washington,Pac-10,10-2,1246, ,,,,,
6,< 5,Notre Dame,Ind,9-3,1179, ,,,,,
7,< 12,Michigan,Big Ten,9-3,1025, ,,,,,
8,< 10,Tennessee,SEC,9-2-2,993, ,,,,,
9,< 14,Clemson,ACC,10-2,950, ,,,,,
10,< 9,Houston,Southwest,10-1,940, ,,,,,
11,< 7,Penn State,Ind,9-3,907, ,,,,,
12,< 3,Texas,Southwest,10-2,887, ,,,,,
13,< 11,Florida,SEC,9-2,863, ,,,,,
14,< 18,Louisville,Ind,10-1-1,775,W 34-7 N Alabama,,,,,
15,< NR,Texas A&M,Southwest,9-3-1,627, ,,,,,
16,< 22,Michigan State,Big Ten,8-3-1,610, ,,,,,
17,< 20,Oklahoma,Big 8,8-3,452,DNP,,,,,
18,< 17,Iowa,Big Ten,8-4,370.5, ,,,,,
19,< NR,Auburn,SEC,8-3-1,288, ,,,,,
20,< 21,USC,Pac-10,8-4-1,266, ,,,,,
21,< 15,Mississippi,SEC,9-3,253, ,,,,,
22,< 13,BYU,WAC,10-3,246, ,,,,,
23,< NR,Virginia,ACC,8-4,188, ,,,,,
24,< 19,Nebraska,Big 8,9-3,185, ,,,,,
25,< 16,Illinois,Big Ten,8-4,146.5, ,,,,,
NR,< 25,Alabama,SEC,,, ,,,,,
NR,< 24,Ohio State,Big Ten,,, ,,,,,
NR,< 23,Southern Miss,Ind,,, ,,,,,
1,< 4,Florida State (49),Ind,0-0,1483,DNP,,,,,
2,< 7,Michigan (5),Big Ten,0-0,1384,DNP,,,,,
3,< 3,Miami (FL) (2),Big East,0-0,1276,DNP,,,,,
4,< 5,Washington (1),Pac-10,0-0,1252,DNP,,,,,
5,< 13,Florida (1),SEC,0-0,1150,DNP,,,,,
6,< 6,Notre Dame,Ind,0-0,1148,DNP,,,,,
7,< 11,Penn State,Ind,0-0,1064,DNP,,,,,
8,< 2,Georgia Tech,ACC,0-0,1054,DNP,,,,,
9,< 9,Clemson (1),ACC,0-0,1043,DNP,,,,,
10,< 17,Oklahoma,Big 8,0-0,921,DNP,,,,,
11,< 8,Tennessee,SEC,0-0,846,DNP,,,,,
12,< 10,Houston (1),Southwest,0-0,810,DNP,,,,,
13,< 1,Colorado,Big 8,0-0,788,DNP,,,,,
14,< 12,Texas,Southwest,0-0,769,DNP,,,,,
15,< 24,Nebraska,Big 8,0-0,599,DNP,,,,,
16,< 20,USC,Pac-10,0-0,503,DNP,,,,,
17,< 19,Auburn,SEC,0-0,500,DNP,,,,,
18,< 18,Iowa,Big Ten,0-0,475,DNP,,,,,
19,< 22,BYU,WAC,0-0,363,DNP,,,,,
20,< 16,Michigan State,Big Ten,0-0,351,DNP,,,,,
21,< 15,Texas A&M,Southwest,0-0,321,DNP,,,,,
22,< NR,Alabama,SEC,0-0,298,DNP,,,,,
23,< NR,Ohio State,Big Ten,0-0,277,DNP,,,,,
24,< NR,UCLA,Pac-10,0-0,168,DNP,,,,,
25,< NR,Syracuse,Big East,0-0,121,DNP,,,,,
RV,< 14,Louisville,Ind,0-0,120,DNP,,,,,
RV,< NR,Baylor,Southwest,0-0,115,DNP,,,,,
RV,< NR,North Carolina,ACC,0-0,83,DNP,,,,,
RV,< NR,Oregon,Pac-10,0-0,28,DNP,,,,,
RV,< NR,Virginia Tech,Big East,0-0,27,DNP,,,,,
RV,< NR,NC State,ACC,0-0,24,DNP,,,,,
RV,< NR,California,Pac-10,0-0,23,DNP,,,,,
RV,< 25,Illinois,Big Ten,0-0,22,DNP,,,,,
RV,< 23,Virginia,ACC,0-0,16,DNP,,,,,
RV,< NR,LSU,SEC,0-0,15,DNP,,,,,
RV,< NR,Pittsburgh,Big East,0-0,12,DNP,,,,,
RV,< NR,Air Force,WAC,0-0,10,DNP,,,,,
RV,< NR,Georgia,SEC,0-0,9,DNP,,,,,
RV,< 21,Mississippi,SEC,0-0,8,DNP,,,,,
RV,< NR,Stanford,Pac-10,0-0,5,DNP,,,,,
RV,< NR,Arizona,Pac-10,0-0,4,DNP,,,,,
RV,< NR,West Virginia,Big East,0-0,4,DNP,,,,,
RV,< NR,Southern Miss,Ind,0-0,3,DNP,,,,,
RV,< NR,Colorado State,WAC,0-0,2,DNP,,,,,
RV,< NR,San Diego State,WAC,0-0,2,DNP,,,,,
RV,< NR,South Carolina,Ind,0-0,2,DNP,,,,,
RV,< NR,Indiana,Big Ten,0-0,1,DNP,,,,,
RV,< NR,Kansas,Big 8,0-0,1,DNP,,,,,
1,< 1,Florida State (54),Ind,1-0,1469,W 44-28 N #19 BYU (Pigskin Classic),,,,,
2,< 2,Michigan (1),Big Ten,0-0,1363,DNP,,,,,
3,< 3,Miami (FL) (1),Big East,1-0,1318, ,,,,,
4,< 4,Washington (2),Pac-10,0-0,1257,DNP,,,,,
5,< 7,Penn State,Ind,1-0,1225, ,,,,,
6,< 5,Florida,SEC,0-0,1148,DNP,,,,,
7,< 6,Notre Dame,Ind,0-0,1113,DNP,,,,,
8,< 9,Clemson,ACC,0-0,1026,DNP,,,,,
9,< 10,Oklahoma,Big 8,0-0,963,DNP,,,,,
10,< 12,Houston (1),Southwest,1-0,933, ,,,,,
11,< 11,Tennessee,SEC,0-0,883,DNP,,,,,
12,< 13,Colorado,Big 8,0-0,830,DNP,,,,,
13,< 14,Texas,Southwest,0-0,792,DNP,,,,,
14,< 15,Nebraska,Big 8,0-0,638,DNP,,,,,
15,< 18,Iowa,Big Ten,0-0,541,DNP,,,,,
16,< 16,USC,Pac-10,0-0,532,DNP,,,,,
17,< 8,Georgia Tech,ACC,0-1,514, ,,,,,
18,< 17,Auburn,SEC,1-0,432, ,,,,,
19,< 20,Michigan State,Big Ten,0-0,411,DNP,,,,,
20,< 22,Alabama,SEC,0-0,339,DNP,,,,,
21,< 21,Texas A&M,Southwest,0-0,313,DNP,,,,,
22,< 23,Ohio State,Big Ten,0-0,234,DNP,,,,,
23,< 24,UCLA,Pac-10,0-0,157,DNP,,,,,
24,< 25,Syracuse,Big East,0-0,141,DNP,,,,,
25,< 19,BYU,WAC,0-1,122, ,,,,,
RV,< NR,Baylor,Southwest,,93, ,,,,,
RV,< NR,Louisville,Ind,,87, ,,,,,
RV,< NR,North Carolina,ACC,,67, ,,,,,
RV,< NR,Pittsburgh,Big East,,63, ,,,,,
RV,< NR,Illinois,Big Ten,,28, ,,,,,
RV,< NR,Virginia Tech,Big East,,21, ,,,,,
RV,< NR,Oregon,Pac-10,,20, ,,,,,
RV,< NR,NC State,ACC,,19, ,,,,,
RV,< NR,California,Pac-10,,17, ,,,,,
RV,< NR,LSU,SEC,,12, ,,,,,
RV,< NR,Mississippi,SEC,,11, ,,,,,
RV,< NR,Air Force,WAC,,10, ,,,,,
RV,< NR,Georgia,SEC,,9, ,,,,,
RV,< NR,Virginia,ACC,,9, ,,,,,
RV,< NR,Colorado State,WAC,,4, ,,,,,
RV,< NR,San Diego State,WAC,,3, ,,,,,
RV,< NR,South Carolina,Ind,,3, ,,,,,
RV,< NR,Hawaii,WAC,,2, ,,,,,
RV,< NR,Southern Miss,Ind,,2, ,,,,,
RV,< NR,Kansas,Big 8,,1, ,,,,,
1,< 1,Florida State (53),Ind,2-0,1491,W 38-11 H Tulane,,,,,
2,< 3,Miami (FL) (2),Big East,1-0,1344, ,,,,,
3,< 2,Michigan (1),Big Ten,1-0,1339, ,,,,,
4,< 4,Washington (2),Pac-10,1-0,1304, ,,,,,
5,< 5,Penn State,Ind,2-0,1285, ,,,,,
6,< 6,Florida (1),SEC,1-0,1195, ,,,,,
7,< 7,Notre Dame,Ind,1-0,1148, ,,,,,
8,< 8,Clemson,ACC,1-0,1027, ,,,,,
9,< 9,Oklahoma,Big 8,0-0,973,DNP,,,,,
10,< 10,Houston (1),Southwest,1-0,967, ,,,,,
11,< 11,Tennessee,SEC,1-0,944, ,,,,,
12,< 12,Colorado,Big 8,1-0,837, ,,,,,
13,< 14,Nebraska,Big 8,1-0,729, ,,,,,
14,< 15,Iowa,Big Ten,1-0,715, ,,,,,
15,< 18,Auburn,SEC,1-0,506, ,,,,,
16,< 20,Alabama,SEC,1-0,501, ,,,,,
17,< 17,Georgia Tech,ACC,0-1,467, ,,,,,
18,< 19,Michigan State,Big Ten,0-0,463,DNP,,,,,
19,< 22,Ohio State,Big Ten,1-0,410, ,,,,,
20,< 21,Texas A&M,Southwest,0-0,345,DNP,,,,,
21,< 23,UCLA,Pac-10,1-0,304, ,,,,,
22,< 24,Syracuse,Big East,1-0,242, ,,,,,
23,< NR,Baylor,Southwest,1-0,162, ,,,,,
24,< NR,Pittsburgh,Big East,2-0,146, ,,,,,
25,< NR,Mississippi State,SEC,2-0,125, ,,,,,
RV,< 13,Texas,Southwest,,112, ,,,,,
RV,< NR,Georgia,SEC,,79, ,,,,,
RV,< NR,North Carolina,ACC,,69, ,,,,,
RV,< NR,California,Pac-10,,52, ,,,,,
RV,< 16,USC,Pac-10,,51, ,,,,,
RV,< NR,Oregon,Pac-10,,45, ,,,,,
RV,< NR,Mississippi,SEC,,32, ,,,,,
RV,< NR,NC State,ACC,,21, ,,,,,
RV,< NR,Illinois,Big Ten,,18, ,,,,,
RV,< NR,Memphis,Ind,,15, ,,,,,
RV,< NR,Air Force,WAC,,14, ,,,,,
RV,< NR,Maryland,ACC,,9, ,,,,,
RV,< 25,BYU,WAC,,8, ,,,,,
RV,< NR,Kansas,Big 8,,3, ,,,,,
RV,< NR,Arkansas,Southwest,,1, ,,,,,
RV,< NR,Louisville,Ind,,1, ,,,,,
RV,< NR,TCU,Southwest,,1, ,,,,,
1,< 1,Florida State (47),Ind,3-0,1436,W 58-0 H Western Michigan,,,,,
2,< 2,Miami (FL) (8),Big East,2-0,1345, ,,,,,
3,< 3,Michigan (1),Big Ten,2-0,1329, ,,,,,
4,< 4,Washington (1),Pac-10,1-0,1270, ,,,,,
5,< 6,Florida (1),SEC,2-0,1250, ,,,,,
6,< 11,Tennessee,SEC,2-0,1107, ,,,,,
7,< 9,Oklahoma,Big 8,1-0,1047,W 40-2 H North Texas,,,,,
8,< 8,Clemson,ACC,1-0,1028, ,,,,,
9,< 13,Nebraska,Big 8,2-0,899, ,,,,,
10,< 14,Iowa,Big Ten,2-0,864, ,,,,,
11,< 7,Notre Dame,Ind,1-1,856, ,,,,,
12,< 5,Penn State,Ind,2-1,715, ,,,,,
13,< 15,Auburn,SEC,2-0,711, ,,,,,
14,< 23,Baylor,Southwest,2-0,638, ,,,,,
15,< 20,Texas A&M,Southwest,1-0,611, ,,,,,
16,< 19,Ohio State,Big Ten,2-0,526, ,,,,,
17,< 17,Georgia Tech,ACC,1-1,491, ,,,,,
18,< 22,Syracuse,Big East,2-0,404, ,,,,,
19,< 12,Colorado,Big 8,1-1,365, ,,,,,
20,< 24,Pittsburgh,Big East,3-0,350, ,,,,,
21,< 10,Houston,Southwest,1-1,336, ,,,,,
22,< NR,USC,Pac-10,1-1,309, ,,,,,
23,< 25,Mississippi State,SEC,3-0,302, ,,,,,
24,< NR,California,Pac-10,2-0,119, ,,,,,
25,< NR,Georgia,SEC,2-0,116, ,,,,,
RV,< NR,North Carolina,ACC,,91, ,,,,,
RV,< NR,Oregon,Pac-10,,71, ,,,,,
RV,< 16,Alabama,SEC,,67, ,,,,,
RV,< 21,UCLA,Pac-10,,66, ,,,,,
RV,< NR,Texas,Southwest,,41, ,,,,,
RV,< NR,NC State,ACC,,29, ,,,,,
RV,< NR,Air Force,WAC,,16, ,,,,,
RV,< 18,Michigan State,Big Ten,,12, ,,,,,
RV,< NR,Central Michigan,MAC,,11, ,,,,,
RV,< NR,Mississippi,SEC,,6, ,,,,,
RV,< NR,Fresno State,Big West,,4, ,,,,,
RV,< NR,San Diego State,WAC,,4, ,,,,,
RV,< NR,Kansas,Big 8,,3, ,,,,,
RV,< NR,Missouri,Big 8,,3, ,,,,,
RV,< NR,Minnesota,Big Ten,,2, ,,,,,
1,< 1,Florida State (48),Ind,3-0,1486,DNP,,,,,
2,< 2,Miami (FL) (8),Big East,2-0,1412, ,,,,,
3,< 3,Michigan (1),Big Ten,2-0,1375, ,,,,,
4,< 4,Washington (3),Pac-10,2-0,1365, ,,,,,
5,< 6,Tennessee,SEC,3-0,1191, ,,,,,
6,< 7,Oklahoma,Big 8,2-0,1166,W 55-21 H Utah State,,,,,
7,< 8,Clemson,ACC,2-0,1159, ,,,,,
8,< 11,Notre Dame,Ind,2-1,1000, ,,,,,
9,< 10,Iowa,Big Ten,2-0,933, ,,,,,
10,< 12,Penn State,Ind,3-1,870, ,,,,,
10,< 18,Syracuse,Big East,3-0,870, ,,,,,
12,< 14,Baylor,Southwest,3-0,850, ,,,,,
13,< 13,Auburn,SEC,3-0,825, ,,,,,
14,< 5,Florida,SEC,2-1,712, ,,,,,
15,< 16,Ohio State,Big Ten,3-0,647, ,,,,,
16,< 9,Nebraska,Big 8,2-1,548, ,,,,,
17,< 19,Colorado,Big 8,2-1,534, ,,,,,
18,< 20,Pittsburgh,Big East,3-0,503, ,,,,,
19,< 17,Georgia Tech,ACC,2-1,498, ,,,,,
20,< 24,California,Pac-10,3-0,344, ,,,,,
21,< 23,Mississippi State,SEC,3-1,266, ,,,,,
22,< NR,Alabama,SEC,2-1,151, ,,,,,
23,< NR,North Carolina,ACC,2-0,136, ,,,,,
24,< NR,Arizona State,Pac-10,2-0,124, ,,,,,
25,< NR,Illinois,Big Ten,2-1,116, ,,,,,
RV,< 15,Texas A&M,Southwest,,114, ,,,,,
RV,< NR,NC State,ACC,,98, ,,,,,
RV,< NR,Air Force,WAC,,65, ,,,,,
RV,< NR,UCLA,Pac-10,,33, ,,,,,
RV,< NR,Mississippi,SEC,,21, ,,,,,
RV,< NR,Fresno State,Big West,,14, ,,,,,
RV,< NR,Kansas,Big 8,,13, ,,,,,
RV,< NR,Tulsa,Ind,,13, ,,,,,
RV,< 21,Houston,Southwest,,8, ,,,,,
RV,< NR,West Virginia,Big East,,8, ,,,,,
RV,< NR,Central Michigan,MAC,,7, ,,,,,
RV,< 25,Georgia,SEC,,6, ,,,,,
RV,< NR,TCU,Southwest,,4, ,,,,,
RV,< NR,Louisville,Ind,,3, ,,,,,
RV,< NR,Oregon,Pac-10,,3, ,,,,,
RV,< NR,Southern Miss,Ind,,3, ,,,,,
RV,< NR,Texas,Southwest,,3, ,,,,,
RV,< NR,Indiana,Big Ten,,2, ,,,,,
RV,< NR,Duke,ACC,,1, ,,,,,
RV,< 22,USC,Pac-10,,0, ,,,,,
1,< 1,Florida State (56),Ind,4-0,1472,W 51-31 A #3 Michigan,,,,,
2,< 2,Miami (FL) (2),Big East,3-0,1398, ,,,,,
3,< 4,Washington (1),Pac-10,3-0,1375, ,,,,,
4,< 5,Tennessee,SEC,4-0,1275, ,,,,,
5,< 6,Oklahoma,Big 8,3-0,1165,W 27-17 H Virginia Tech,,,,,
6,< 7,Clemson,ACC,3-0,1142, ,,,,,
7,< 3,Michigan,Big Ten,2-1,1123, ,,,,,
8,< 8,Notre Dame,Ind,3-1,1027, ,,,,,
9,< 9,Iowa,Big Ten,3-0,987, ,,,,,
10,< 10,Syracuse,Big East,4-0,936, ,,,,,
11,< 12,Baylor,Southwest,4-0,908, ,,,,,
12,< 10,Penn State,Ind,4-1,870, ,,,,,
13,< 14,Florida,SEC,3-1,771, ,,,,,
14,< 15,Ohio State,Big Ten,3-0,690, ,,,,,
15,< 16,Nebraska,Big 8,3-1,604, ,,,,,
16,< 13,Auburn,SEC,3-1,568, ,,,,,
17,< 18,Pittsburgh,Big East,4-0,541, ,,,,,
18,< 20,California,Pac-10,3-0,449, ,,,,,
19,< NR,NC State,ACC,4-0,347, ,,,,,
20,< 22,Alabama,SEC,3-1,333, ,,,,,
21,< 19,Georgia Tech,ACC,2-2,275, ,,,,,
22,< 25,Illinois,Big Ten,2-1,232, ,,,,,
23,< NR,Texas A&M,Southwest,2-1,126, ,,,,,
24,< NR,UCLA,Pac-10,2-1,107, ,,,,,
25,< 17,Colorado,Big 8,2-2,82, ,,,,,
RV,< NR,Mississippi,SEC,,61, ,,,,,
RV,< 24,Arizona State,Pac-10,,60, ,,,,,
RV,< NR,TCU,Southwest,,56, ,,,,,
RV,< 21,Mississippi State,SEC,,47, ,,,,,
RV,< NR,Georgia,SEC,,37, ,,,,,
RV,< NR,West Virginia,Big East,,26, ,,,,,
RV,< NR,Kansas,Big 8,,16, ,,,,,
RV,< NR,Fresno State,Big West,,13, ,,,,,
RV,< 23,North Carolina,ACC,,12, ,,,,,
RV,< NR,Air Force,WAC,,11, ,,,,,
RV,< NR,USC,Pac-10,,8, ,,,,,
RV,< NR,Louisville,Ind,,5, ,,,,,
RV,< NR,Nevada,Big Sky,,5, ,,,,,
RV,< NR,East Carolina,Ind,,4, ,,,,,
RV,< NR,Rutgers,Big East,,4, ,,,,,
RV,< NR,Central Michigan,MAC,,3, ,,,,,
RV,< NR,Wisconsin,Big Ten,,2, ,,,,,
RV,< NR,San Jose State,Big West,,1, ,,,,,
RV,< NR,Tulsa,Ind,,1, ,,,,,
1,< 1,Florida State (58),Ind,5-0,1498,W 46-14 H #10 Syracuse,,,,,
2,< 2,Miami (FL) (1),Big East,4-0,1416, ,,,,,
3,< 3,Washington (1),Pac-10,4-0,1404, ,,,,,
4,< 4,Tennessee,SEC,4-0,1298, ,,,,,
5,< 7,Michigan,Big Ten,3-1,1213, ,,,,,
6,< 5,Oklahoma,Big 8,4-0,1208,W 29-8 A Iowa State,,,,,
7,< 8,Notre Dame,Ind,4-1,1129, ,,,,,
